bloc,metric,permutation,gap
EU,rpa_jaccard,0,0.013657359727463153
EU,rpa_jaccard,1,0.029608390022134834
EU,rpa_jaccard,2,0.06260982247327768
EU,rpa_jaccard,3,0.004777598116112836
EU,rpa_jaccard,4,-0.013045802103987564
EU,rpa_jaccard,5,0.0594411174561128
EU,rpa_jaccard,6,-0.014298218764775106
EU,rpa_jaccard,7,0.030131967244855007
EU,rpa_jaccard,8,0.008674250336181022
EU,rpa_jaccard,9,-0.00014702344288647362
EU,rpa_jaccard,10,0.025702357511965424
EU,rpa_jaccard,11,0.03905511805023612
EU,rpa_jaccard,12,0.01701210775825246
EU,rpa_jaccard,13,-0.005089437604050173
EU,rpa_jaccard,14,-0.008137455856672832
EU,rpa_jaccard,15,0.004504148348818987
EU,rpa_jaccard,16,-0.01493538590904181
EU,rpa_jaccard,17,-0.010820248048073883
EU,rpa_jaccard,18,-0.020632816486994443
EU,rpa_jaccard,19,0.013865488664804831
EU,rpa_jaccard,20,-0.026089271557864058
EU,rpa_jaccard,21,-0.008064249711072669
EU,rpa_jaccard,22,0.019057620036646433
EU,rpa_jaccard,23,0.016486188230508736
EU,rpa_jaccard,24,-0.058339486598658535
EU,rpa_jaccard,25,-0.032559885434045394
EU,rpa_jaccard,26,0.007320069662519468
EU,rpa_jaccard,27,0.02056362568827788
EU,rpa_jaccard,28,-0.004710274408952941
EU,rpa_jaccard,29,-0.012505399393278549
EU,rpa_jaccard,30,0.01777629592208324
EU,rpa_jaccard,31,-0.005877086711934265
EU,rpa_jaccard,32,-0.0023241799902419813
EU,rpa_jaccard,33,-0.0037882497893245715
EU,rpa_jaccard,34,-0.035673425696910066
EU,rpa_jaccard,35,0.05411486872029847
EU,rpa_jaccard,36,0.0023515923522044735
EU,rpa_jaccard,37,0.008467002284454461
EU,rpa_jaccard,38,0.04931023836033932
EU,rpa_jaccard,39,0.012026808070654066
EU,rpa_jaccard,40,0.00911308220749979
EU,rpa_jaccard,41,-0.0011220691725912224
EU,rpa_jaccard,42,0.03501424025620417
EU,rpa_jaccard,43,-0.01649734177446588
EU,rpa_jaccard,44,-0.020310091546947184
EU,rpa_jaccard,45,-0.008231025373321627
EU,rpa_jaccard,46,0.0038502292397355753
EU,rpa_jaccard,47,0.028717923703668435
EU,rpa_jaccard,48,0.012848393117239731
