period_idx,period_label,basis,draw,null_mean_pairwise_jaccard
0,1961-1970,presence,0,0.3840861899119818
0,1961-1970,presence,1,0.3851974541141605
0,1961-1970,presence,2,0.3874877845466081
0,1961-1970,presence,3,0.388661345380207
0,1961-1970,presence,4,0.3903359796995186
0,1961-1970,presence,5,0.39190264246527645
0,1961-1970,presence,6,0.3908303362994956
0,1961-1970,presence,7,0.38440711500666247
0,1961-1970,presence,8,0.3837525995301656
0,1961-1970,presence,9,0.39280679397076157
0,1961-1970,presence,10,0.39169464375912344
0,1961-1970,presence,11,0.38434462303240585
0,1961-1970,presence,12,0.38427535364752563
0,1961-1970,presence,13,0.38875830156938757
0,1961-1970,presence,14,0.3868262823832602
0,1961-1970,presence,15,0.3991833853259193
0,1961-1970,presence,16,0.38425492735149797
0,1961-1970,presence,17,0.39461962852799953
0,1961-1970,presence,18,0.3917563269909067
0,1961-1970,presence,19,0.3912581500533989
0,1961-1970,presence,20,0.38563712870839567
0,1961-1970,presence,21,0.3833695517236241
0,1961-1970,presence,22,0.3842569760556186
0,1961-1970,presence,23,0.3870496291876383
0,1961-1970,presence,24,0.38850807378433005
0,1961-1970,presence,25,0.3866018383656512
0,1961-1970,presence,26,0.38908338812184967
0,1961-1970,presence,27,0.388036241144124
0,1961-1970,presence,28,0.39239430232077294
0,1961-1970,presence,29,0.3881729539788006
0,1961-1970,presence,30,0.3949124844486836
0,1961-1970,presence,31,0.39644999409973214
0,1961-1970,presence,32,0.39300666758245945
0,1961-1970,presence,33,0.394202833993558
0,1961-1970,presence,34,0.3867239524762149
0,1961-1970,presence,35,0.38664046172530336
0,1961-1970,presence,36,0.3841703252336736
0,1961-1970,presence,37,0.3881850291069747
0,1961-1970,presence,38,0.3864229305971388
0,1961-1970,presence,39,0.3856903613661175
0,1961-1970,presence,40,0.3958978998958756
0,1961-1970,presence,41,0.3919097378656202
0,1961-1970,presence,42,0.39023457462818023
0,1961-1970,presence,43,0.3867036432647292
0,1961-1970,presence,44,0.3896607697229869
0,1961-1970,presence,45,0.38653023070443887
0,1961-1970,presence,46,0.3935306660672819
0,1961-1970,presence,47,0.387648737956847
0,1961-1970,presence,48,0.3860600728247787
0,1961-1970,presence,49,0.38358665592828484
0,1961-1970,presence,50,0.38837373452758067
0,1961-1970,presence,51,0.38990697274068314
0,1961-1970,presence,52,0.38614680851374106
0,1961-1970,presence,53,0.3819674229742103
0,1961-1970,presence,54,0.38666035981914765
0,1961-1970,presence,55,0.3824786607309232
0,1961-1970,presence,56,0.3893285710280828
0,1961-1970,presence,57,0.38969922571672994
0,1961-1970,presence,58,0.39063984679905134
0,1961-1970,presence,59,0.38480979396971304
0,1961-1970,presence,60,0.39193472440078775
0,1961-1970,presence,61,0.38677827326017367
0,1961-1970,presence,62,0.394635784652753
0,1961-1970,presence,63,0.3834881601820158
0,1961-1970,presence,64,0.39176179212943923
0,1961-1970,presence,65,0.3851132434530268
0,1961-1970,presence,66,0.38638324240699806
0,1961-1970,presence,67,0.38416954463334557
0,1961-1970,presence,68,0.3875089895704923
0,1961-1970,presence,69,0.385363287625731
0,1961-1970,presence,70,0.3897668331179286
0,1961-1970,presence,71,0.3889024910175779
0,1961-1970,presence,72,0.38402126300881956
0,1961-1970,presence,73,0.38379347640927775
0,1961-1970,presence,74,0.38849141286328714
0,1961-1970,presence,75,0.38643803196970616
0,1961-1970,presence,76,0.3921003895551407
0,1961-1970,presence,77,0.38694929483956636
0,1961-1970,presence,78,0.3870130822336705
0,1961-1970,presence,79,0.3848647542026918
0,1961-1970,presence,80,0.3852284969932029
0,1961-1970,presence,81,0.3907987751313543
0,1961-1970,presence,82,0.38305151161188317
0,1961-1970,presence,83,0.3866039147713356
0,1961-1970,presence,84,0.39240522978913067
0,1961-1970,presence,85,0.392669706696856
0,1961-1970,presence,86,0.3849985663587116
0,1961-1970,presence,87,0.39785911151861375
0,1961-1970,presence,88,0.38842590720121084
0,1961-1970,presence,89,0.3836798581425278
0,1961-1970,presence,90,0.3883373602265005
0,1961-1970,presence,91,0.3835845045686675
0,1961-1970,presence,92,0.3897189066589519
0,1961-1970,presence,93,0.3836131994785841
0,1961-1970,presence,94,0.38649379780601495
0,1961-1970,presence,95,0.38801111703737323
0,1961-1970,presence,96,0.3902558958554434
0,1961-1970,presence,97,0.38434259305300034
0,1961-1970,presence,98,0.3901307779701445
0,1961-1970,presence,99,0.3919829782669149
0,1961-1970,presence,100,0.38584813355740966
0,1961-1970,presence,101,0.38730118978690065
0,1961-1970,presence,102,0.38572269652586394
0,1961-1970,presence,103,0.38690971128753937
0,1961-1970,presence,104,0.3834833970550808
0,1961-1970,presence,105,0.3829292523297048
